temps,genotype,fluo,stress
332,fqr1,0.281,control
347,fqr1,0.3,control
364,fqr1,0.317,control
384,fqr1,0.316,control
408,fqr1,0.331,control
438,fqr1,0.355,control
473,fqr1,0.375,control
515,fqr1,0.401,control
565,fqr1,0.423,control
624,fqr1,0.442,control
696,fqr1,0.453,control
783,fqr1,0.464,control
886,fqr1,0.336,control
0,nqrfqr1,0.626,control
42,nqrfqr1,0,control
63,nqrfqr1,0,control
83,nqrfqr1,0.078,control
103,nqrfqr1,0.107,control
124,nqrfqr1,0.125,control
144,nqrfqr1,0.141,control
164,nqrfqr1,0.161,control
184,nqrfqr1,0.157,control
205,nqrfqr1,0.167,control
225,nqrfqr1,0.172,control
245,nqrfqr1,0.17,control
266,nqrfqr1,0.175,control
286,nqrfqr1,0.181,control
306,nqrfqr1,0.181,control
320,nqrfqr1,0.3,control
332,nqrfqr1,0.356,control
347,nqrfqr1,0.372,control
364,nqrfqr1,0.405,control
384,nqrfqr1,0.417,control
408,nqrfqr1,0.435,control
438,nqrfqr1,0.459,control
473,nqrfqr1,0.476,control
515,nqrfqr1,0.497,control
565,nqrfqr1,0.516,control
624,nqrfqr1,0.535,control
696,nqrfqr1,0.55,control
783,nqrfqr1,0.56,control
886,nqrfqr1,0.603,control
0,nqrfqr1,0.649,control
42,nqrfqr1,0,control
63,nqrfqr1,0,control
83,nqrfqr1,0.075,control
103,nqrfqr1,0.128,control
124,nqrfqr1,0.181,control
144,nqrfqr1,0.211,control
164,nqrfqr1,0.22,control
184,nqrfqr1,0.226,control
205,nqrfqr1,0.235,control
225,nqrfqr1,0.245,control
245,nqrfqr1,0.244,control
266,nqrfqr1,0.25,control
286,nqrfqr1,0.255,control
306,nqrfqr1,0.256,control
320,nqrfqr1,0.391,control
332,nqrfqr1,0.42,control
347,nqrfqr1,0.441,control
364,nqrfqr1,0.465,control
384,nqrfqr1,0.484,control
408,nqrfqr1,0.503,control
438,nqrfqr1,0.522,control
473,nqrfqr1,0.54,control
515,nqrfqr1,0.555,control
565,nqrfqr1,0.568,control
624,nqrfqr1,0.577,control
696,nqrfqr1,0.59,control
783,nqrfqr1,0.597,control
886,nqrfqr1,0.628,control
0,nqrfqr1,0.634,control
42,nqrfqr1,0,control
63,nqrfqr1,0,control
83,nqrfqr1,0.035,control
103,nqrfqr1,0.074,control
124,nqrfqr1,0.124,control
144,nqrfqr1,0.156,control
164,nqrfqr1,0.183,control
184,nqrfqr1,0.197,control
205,nqrfqr1,0.204,control
225,nqrfqr1,0.205,control
245,nqrfqr1,0.21,control
266,nqrfqr1,0.211,control
286,nqrfqr1,0.221,control
306,nqrfqr1,0.216,control
320,nqrfqr1,0.378,control
332,nqrfqr1,0.404,control
347,nqrfqr1,0.418,control
364,nqrfqr1,0.45,control
384,nqrfqr1,0.46,control
408,nqrfqr1,0.48,control
438,nqrfqr1,0.505,control
473,nqrfqr1,0.523,control
515,nqrfqr1,0.535,control
565,nqrfqr1,0.552,control
624,nqrfqr1,0.565,control
696,nqrfqr1,0.576,control
783,nqrfqr1,0.585,control
886,nqrfqr1,0.617,control
0,WT,0.663,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0,chaud
103,WT,0.08,chaud
123,WT,0.125,chaud
143,WT,0.166,chaud
164,WT,0.208,chaud
184,WT,0.229,chaud
204,WT,0.248,chaud
225,WT,0.26,chaud
245,WT,0.274,chaud
265,WT,0.279,chaud
285,WT,0.288,chaud
306,WT,0.29,chaud
320,WT,0.453,chaud
332,WT,0.463,chaud
346,WT,0.479,chaud
363,WT,0.5,chaud
384,WT,0.52,chaud
408,WT,0.532,chaud
437,WT,0.553,chaud
473,WT,0.568,chaud
515,WT,0.583,chaud
564,WT,0.592,chaud
624,WT,0.601,chaud
696,WT,0.603,chaud
782,WT,0.61,chaud
886,WT,0.615,chaud
0,WT,0.663,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0.048,chaud
103,WT,0.109,chaud
123,WT,0.157,chaud
143,WT,0.195,chaud
164,WT,0.226,chaud
184,WT,0.239,chaud
204,WT,0.252,chaud
225,WT,0.254,chaud
245,WT,0.265,chaud
265,WT,0.262,chaud
285,WT,0.269,chaud
306,WT,0.275,chaud
320,WT,0.43,chaud
332,WT,0.453,chaud
346,WT,0.473,chaud
363,WT,0.493,chaud
384,WT,0.515,chaud
408,WT,0.532,chaud
437,WT,0.551,chaud
473,WT,0.569,chaud
515,WT,0.583,chaud
564,WT,0.592,chaud
624,WT,0.602,chaud
696,WT,0.61,chaud
782,WT,0.617,chaud
886,WT,0.621,chaud
0,WT,0.657,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0,chaud
103,WT,0.078,chaud
123,WT,0.123,chaud
143,WT,0.176,chaud
164,WT,0.212,chaud
184,WT,0.242,chaud
204,WT,0.267,chaud
225,WT,0.275,chaud
245,WT,0.273,chaud
265,WT,0.279,chaud
285,WT,0.279,chaud
306,WT,0.284,chaud
320,WT,0.426,chaud
332,WT,0.441,chaud
346,WT,0.462,chaud
363,WT,0.481,chaud
384,WT,0.503,chaud
408,WT,0.519,chaud
437,WT,0.537,chaud
473,WT,0.553,chaud
515,WT,0.564,chaud
564,WT,0.575,chaud
624,WT,0.583,chaud
696,WT,0.593,chaud
782,WT,0.6,chaud
886,WT,0.605,chaud
0,WT,0.601,chaud
42,WT,0,chaud
62,WT,0,chaud
83,WT,0,chaud
103,WT,0.059,chaud
123,WT,0.093,chaud
143,WT,0.11,chaud
164,WT,0.127,chaud
184,WT,0.143,chaud
204,WT,0.149,chaud
225,WT,0.143,chaud
245,WT,0.148,chaud
265,WT,0.15,chaud
285,WT,0.156,chaud
306,WT,0.164,chaud
320,WT,0.332,chaud
332,WT,0.364,chaud
346,WT,0.392,chaud
363,WT,0.417,chaud
384,WT,0.439,chaud
408,WT,0.46,chaud
437,WT,0.478,chaud
473,WT,0.49,chaud
515,WT,0.503,chaud
564,WT,0.514,chaud
624,WT,0.526,chaud
696,WT,0.532,chaud
782,WT,0.538,chaud
886,WT,0.544,chaud
0,nqr,0.653,chaud
42,nqr,0,chaud
62,nqr,0,chaud
83,nqr,0.061,chaud
103,nqr,0.103,chaud
123,nqr,0.156,chaud
143,nqr,0.197,chaud
164,nqr,0.234,chaud
184,nqr,0.252,chaud
204,nqr,0.248,chaud
225,nqr,0.255,chaud
245,nqr,0.261,chaud
265,nqr,0.266,chaud
285,nqr,0.274,chaud
306,nqr,0.272,chaud
320,nqr,0.421,chaud
332,nqr,0.443,chaud
346,nqr,0.465,chaud
363,nqr,0.488,chaud
384,nqr,0.504,chaud
408,nqr,0.524,chaud
437,nqr,0.543,chaud
473,nqr,0.558,chaud
515,nqr,0.569,chaud
564,nqr,0.58,chaud
624,nqr,0.589,chaud
696,nqr,0.593,chaud
782,nqr,0.603,chaud
886,nqr,0.607,chaud
0,nqr,0.609,chaud
42,nqr,0,chaud
62,nqr,0,chaud
83,nqr,0.041,chaud
103,nqr,0.081,chaud
123,nqr,0.105,chaud
143,nqr,0.124,chaud
164,nqr,0.138,chaud
184,nqr,0.149,chaud
204,nqr,0.16,chaud
225,nqr,0.165,chaud
245,nqr,0.165,chaud
265,nqr,0.171,chaud
285,nqr,0.174,chaud
306,nqr,0.176,chaud
320,nqr,0.336,chaud
332,nqr,0.376,chaud
346,nqr,0.401,chaud
363,nqr,0.425,chaud
384,nqr,0.445,chaud
408,nqr,0.463,chaud
437,nqr,0.481,chaud
473,nqr,0.501,chaud
515,nqr,0.513,chaud
564,nqr,0.526,chaud
624,nqr,0.54,chaud
696,nqr,0.546,chaud
782,nqr,0.557,chaud
886,nqr,0.563,chaud
0,nqr,0.595,chaud
42,nqr,0,chaud
62,nqr,0,chaud
83,nqr,0.04,chaud
103,nqr,0.078,chaud
123,nqr,0.115,chaud
143,nqr,0.148,chaud
164,nqr,0.169,chaud
184,nqr,0.184,chaud
204,nqr,0.193,chaud
225,nqr,0.194,chaud
245,nqr,0.193,chaud
265,nqr,0.202,chaud
285,nqr,0.207,chaud
306,nqr,0.215,chaud
320,nqr,0.362,chaud
332,nqr,0.38,chaud
346,nqr,0.405,chaud
363,nqr,0.427,chaud
384,nqr,0.448,chaud
408,nqr,0.467,chaud
437,nqr,0.486,chaud
473,nqr,0.497,chaud
515,nqr,0.51,chaud
564,nqr,0.514,chaud
624,nqr,0.522,chaud
696,nqr,0.529,chaud
782,nqr,0.538,chaud
886,nqr,0.541,chaud
0,fqr1,0.609,chaud
42,fqr1,0,chaud
62,fqr1,0,chaud
83,fqr1,0.06,chaud
103,fqr1,0.096,chaud
123,fqr1,0.132,chaud
144,fqr1,0.159,chaud
164,fqr1,0.18,chaud
184,fqr1,0.188,chaud
204,fqr1,0.181,chaud
225,fqr1,0.18,chaud
245,fqr1,0.192,chaud
265,fqr1,0.195,chaud
286,fqr1,0.204,chaud
306,fqr1,0.201,chaud
320,fqr1,0.336,chaud
332,fqr1,0.371,chaud
346,fqr1,0.391,chaud
364,fqr1,0.412,chaud
384,fqr1,0.43,chaud
408,fqr1,0.448,chaud
428,fqr1,0.469,chaud
463,fqr1,0.491,chaud
505,fqr1,0.503,chaud
554,fqr1,0.518,chaud
614,fqr1,0.535,chaud
686,fqr1,0.544,chaud
772,fqr1,0.551,chaud
876,fqr1,0.556,chaud
1000,fqr1,0.601,chaud
0,fqr1,0.589,chaud
42,fqr1,0,chaud
62,fqr1,0,chaud
83,fqr1,0,chaud
103,fqr1,0,chaud
123,fqr1,0.084,chaud
144,fqr1,0.119,chaud
164,fqr1,0.158,chaud
184,fqr1,0.157,chaud
204,fqr1,0.152,chaud
225,fqr1,0.138,chaud
245,fqr1,0.165,chaud
265,fqr1,0.16,chaud
286,fqr1,0.173,chaud
306,fqr1,0.173,chaud
320,fqr1,0.318,chaud
332,fqr1,0.358,chaud
346,fqr1,0.376,chaud
364,fqr1,0.403,chaud
384,fqr1,0.415,chaud
408,fqr1,0.435,chaud
428,fqr1,0.459,chaud
463,fqr1,0.475,chaud
505,fqr1,0.49,chaud
554,fqr1,0.5,chaud
614,fqr1,0.514,chaud
686,fqr1,0.524,chaud
772,fqr1,0.534,chaud
876,fqr1,0.537,chaud
1000,fqr1,0.572,chaud
0,nqrfqr1,0.634,chaud
42,nqrfqr1,0,chaud
62,nqrfqr1,0,chaud
83,nqrfqr1,0.042,chaud
103,nqrfqr1,0.091,chaud
123,nqrfqr1,0.127,chaud
144,nqrfqr1,0.158,chaud
164,nqrfqr1,0.18,chaud
184,nqrfqr1,0.194,chaud
204,nqrfqr1,0.204,chaud
225,nqrfqr1,0.204,chaud
245,nqrfqr1,0.213,chaud
265,nqrfqr1,0.213,chaud
286,nqrfqr1,0.222,chaud
306,nqrfqr1,0.227,chaud
320,nqrfqr1,0.382,chaud
332,nqrfqr1,0.411,chaud
346,nqrfqr1,0.431,chaud
364,nqrfqr1,0.454,chaud
384,nqrfqr1,0.472,chaud
408,nqrfqr1,0.49,chaud
428,nqrfqr1,0.511,chaud
463,nqrfqr1,0.528,chaud
505,nqrfqr1,0.543,chaud
554,nqrfqr1,0.552,chaud
614,nqrfqr1,0.563,chaud
686,nqrfqr1,0.571,chaud
772,nqrfqr1,0.581,chaud
876,nqrfqr1,0.588,chaud
1000,nqrfqr1,0.622,chaud
0,nqrfqr1,0.393,chaud
42,nqrfqr1,0,chaud
62,nqrfqr1,0,chaud
83,nqrfqr1,0,chaud
103,nqrfqr1,0,chaud
123,nqrfqr1,0,chaud
144,nqrfqr1,0,chaud
164,nqrfqr1,0,chaud
184,nqrfqr1,0,chaud
204,nqrfqr1,0,chaud
225,nqrfqr1,0,chaud
245,nqrfqr1,0,chaud
265,nqrfqr1,0,chaud
286,nqrfqr1,0,chaud
306,nqrfqr1,0,chaud
320,nqrfqr1,0.117,chaud
332,nqrfqr1,0.155,chaud
346,nqrfqr1,0.182,chaud
364,nqrfqr1,0.2,chaud
384,nqrfqr1,0.207,chaud
408,nqrfqr1,0.226,chaud
428,nqrfqr1,0.236,chaud
463,nqrfqr1,0.258,chaud
505,nqrfqr1,0.271,chaud
554,nqrfqr1,0.289,chaud
614,nqrfqr1,0.305,chaud
686,nqrfqr1,0.314,chaud
772,nqrfqr1,0.324,chaud
876,nqrfqr1,0.336,chaud
1000,nqrfqr1,0.383,chaud
0,WT,0.453,froid
42,WT,0,froid
62,WT,0,froid
83,WT,0,froid
103,WT,0,froid
123,WT,0,froid
143,WT,0,froid
164,WT,0,froid
184,WT,0,froid
204,WT,0,froid
225,WT,0,froid
245,WT,0,froid
265,WT,0,froid
285,WT,0,froid
306,WT,0,froid
320,WT,0.134,froid
332,WT,0.161,froid
346,WT,0.187,froid
363,WT,0.206,froid
384,WT,0.23,froid
408,WT,0.257,froid
437,WT,0.281,froid
473,WT,0.304,froid
515,WT,0.319,froid
564,WT,0.344,froid
624,WT,0.357,froid
696,WT,0.223,froid
782,WT,0.386,froid
886,WT,0.389,froid
0,WT,0.617,froid
42,WT,0,froid
62,WT,0,froid
83,WT,0.071,froid
103,WT,0.081,froid
123,WT,0.098,froid
143,WT,0.114,froid
164,WT,0.134,froid
184,WT,0.134,froid
204,WT,0.141,froid
225,WT,0.143,froid
245,WT,0.15,froid
265,WT,0.152,froid
285,WT,0.148,froid
306,WT,0.155,froid
320,WT,0.276,froid
332,WT,0.327,froid
346,WT,0.352,froid
363,WT,0.382,froid
384,WT,0.401,froid
408,WT,0.436,froid
437,WT,0.451,froid
473,WT,0.471,froid
515,WT,0.491,froid
564,WT,0.512,froid
624,WT,0.527,froid
696,WT,0.425,froid
782,WT,0.55,froid
886,WT,0.56,froid
0,WT,0.538,froid
42,WT,0,froid
62,WT,0,froid
83,WT,0.042,froid
103,WT,0.059,froid
123,WT,0.071,froid
143,WT,0.093,froid
164,WT,0.1,froid
184,WT,0.108,froid
204,WT,0.112,froid
225,WT,0.113,froid
245,WT,0.11,froid
265,WT,0.115,froid
285,WT,0.116,froid
306,WT,0.12,froid
320,WT,0.227,froid
332,WT,0.269,froid
346,WT,0.291,froid
363,WT,0.31,froid
384,WT,0.324,froid
408,WT,0.348,froid
437,WT,0.372,froid
473,WT,0.385,froid
515,WT,0.405,froid
564,WT,0.422,froid
624,WT,0.439,froid
696,WT,0.326,froid
782,WT,0.463,froid
886,WT,0.471,froid
0,WT,0.572,froid
42,WT,0,froid
62,WT,0,froid
83,WT,0,froid
103,WT,0.068,froid
123,WT,0.099,froid
143,WT,0.137,froid
164,WT,0.152,froid
184,WT,0.157,froid
204,WT,0.153,froid
225,WT,0.161,froid
245,WT,0.163,froid
265,WT,0.17,froid
285,WT,0.172,froid
306,WT,0.178,froid
320,WT,0.287,froid
332,WT,0.317,froid
346,WT,0.33,froid
363,WT,0.345,froid
384,WT,0.364,froid
408,WT,0.382,froid
437,WT,0.408,froid
473,WT,0.419,froid
515,WT,0.441,froid
564,WT,0.456,froid
624,WT,0.472,froid
696,WT,0.361,froid
782,WT,0.502,froid
886,WT,0.51,froid
0,nqr,0.588,froid
42,nqr,0,froid
62,nqr,0,froid
83,nqr,0.077,froid
103,nqr,0.102,froid
123,nqr,0.124,froid
143,nqr,0.139,froid
164,nqr,0.145,froid
184,nqr,0.152,froid
204,nqr,0.153,froid
225,nqr,0.155,froid
245,nqr,0.156,froid
265,nqr,0.163,froid
285,nqr,0.159,froid
306,nqr,0.166,froid
320,nqr,0.28,froid
332,nqr,0.324,froid
346,nqr,0.341,froid
363,nqr,0.365,froid
384,nqr,0.376,froid
408,nqr,0.404,froid
437,nqr,0.423,froid
473,nqr,0.444,froid
515,nqr,0.461,froid
564,nqr,0.483,froid
624,nqr,0.504,froid
696,nqr,0.384,froid
782,nqr,0.525,froid
886,nqr,0.538,froid
0,nqr,0.619,froid
42,nqr,0,froid
62,nqr,0,froid
83,nqr,0,froid
103,nqr,0.079,froid
123,nqr,0.115,froid
143,nqr,0.162,froid
164,nqr,0.182,froid
184,nqr,0.198,froid
204,nqr,0.208,froid
225,nqr,0.213,froid
245,nqr,0.215,froid
265,nqr,0.216,froid
285,nqr,0.221,froid
306,nqr,0.225,froid
320,nqr,0.369,froid
332,nqr,0.39,froid
346,nqr,0.404,froid
363,nqr,0.425,froid
384,nqr,0.446,froid
408,nqr,0.465,froid
437,nqr,0.485,froid
473,nqr,0.5,froid
515,nqr,0.513,froid
564,nqr,0.523,froid
624,nqr,0.537,froid
696,nqr,0.417,froid
782,nqr,0.556,froid
886,nqr,0.565,froid
0,nqr,0.625,froid
42,nqr,0,froid
62,nqr,0,froid
83,nqr,0.06,froid
103,nqr,0.087,froid
123,nqr,0.133,froid
143,nqr,0.168,froid
164,nqr,0.194,froid
184,nqr,0.207,froid
204,nqr,0.204,froid
225,nqr,0.217,froid
245,nqr,0.215,froid
265,nqr,0.217,froid
285,nqr,0.221,froid
306,nqr,0.229,froid
320,nqr,0.367,froid
332,nqr,0.392,froid
346,nqr,0.407,froid
363,nqr,0.432,froid
384,nqr,0.447,froid
408,nqr,0.474,froid
437,nqr,0.492,froid
473,nqr,0.501,froid
515,nqr,0.518,froid
564,nqr,0.531,froid
624,nqr,0.544,froid
696,nqr,0.431,froid
782,nqr,0.562,froid
886,nqr,0.572,froid
0,fqr1,0.629,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0.096,froid
103,fqr1,0.138,froid
123,fqr1,0.174,froid
143,fqr1,0.203,froid
164,fqr1,0.204,froid
184,fqr1,0.214,froid
204,fqr1,0.217,froid
225,fqr1,0.22,froid
245,fqr1,0.23,froid
265,fqr1,0.232,froid
285,fqr1,0.233,froid
305,fqr1,0.231,froid
320,fqr1,0.355,froid
332,fqr1,0.385,froid
346,fqr1,0.404,froid
363,fqr1,0.422,froid
383,fqr1,0.442,froid
408,fqr1,0.467,froid
437,fqr1,0.486,froid
473,fqr1,0.51,froid
515,fqr1,0.532,froid
564,fqr1,0.549,froid
624,fqr1,0.445,froid
696,fqr1,0.572,froid
0,fqr1,0.565,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0.074,froid
103,fqr1,0.104,froid
123,fqr1,0.137,froid
143,fqr1,0.16,froid
164,fqr1,0.178,froid
184,fqr1,0.182,froid
204,fqr1,0.186,froid
225,fqr1,0.187,froid
245,fqr1,0.197,froid
265,fqr1,0.194,froid
285,fqr1,0.191,froid
305,fqr1,0.188,froid
320,fqr1,0.287,froid
332,fqr1,0.312,froid
346,fqr1,0.33,froid
363,fqr1,0.35,froid
383,fqr1,0.37,froid
408,fqr1,0.391,froid
437,fqr1,0.41,froid
473,fqr1,0.433,froid
515,fqr1,0.45,froid
564,fqr1,0.467,froid
624,fqr1,0.346,froid
696,fqr1,0.496,froid
0,fqr1,0.492,froid
42,fqr1,0,froid
62,fqr1,0,froid
83,fqr1,0,froid
103,fqr1,0.075,froid
123,fqr1,0.101,froid
143,fqr1,0.116,froid
164,fqr1,0.134,froid
184,fqr1,0.134,froid
204,fqr1,0.134,froid
225,fqr1,0.134,froid
245,fqr1,0.141,froid
265,fqr1,0.141,froid
285,fqr1,0.141,froid
305,fqr1,0.142,froid
320,fqr1,0.224,froid
332,fqr1,0.253,froid
346,fqr1,0.265,froid
363,fqr1,0.282,froid
383,fqr1,0.299,froid
408,fqr1,0.32,froid
437,fqr1,0.326,froid
473,fqr1,0.349,froid
515,fqr1,0.356,froid
564,fqr1,0.375,froid
624,fqr1,0.245,froid
696,fqr1,0.411,froid
0,nqrfqr1,0.569,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0.07,froid
123,nqrfqr1,0.105,froid
143,nqrfqr1,0.141,froid
164,nqrfqr1,0.144,froid
184,nqrfqr1,0.153,froid
204,nqrfqr1,0.163,froid
225,nqrfqr1,0.16,froid
245,nqrfqr1,0.17,froid
265,nqrfqr1,0.176,froid
285,nqrfqr1,0.163,froid
305,nqrfqr1,0.169,froid
320,nqrfqr1,0.285,froid
332,nqrfqr1,0.305,froid
346,nqrfqr1,0.323,froid
363,nqrfqr1,0.348,froid
383,nqrfqr1,0.371,froid
408,nqrfqr1,0.396,froid
437,nqrfqr1,0.406,froid
473,nqrfqr1,0.431,froid
515,nqrfqr1,0.443,froid
564,nqrfqr1,0.458,froid
624,nqrfqr1,0.35,froid
696,nqrfqr1,0.487,froid
0,nqrfqr1,0.618,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0.053,froid
103,nqrfqr1,0.101,froid
123,nqrfqr1,0.151,froid
143,nqrfqr1,0.187,froid
164,nqrfqr1,0.208,froid
184,nqrfqr1,0.213,froid
204,nqrfqr1,0.216,froid
225,nqrfqr1,0.218,froid
245,nqrfqr1,0.22,froid
265,nqrfqr1,0.222,froid
285,nqrfqr1,0.227,froid
305,nqrfqr1,0.228,froid
320,nqrfqr1,0.356,froid
332,nqrfqr1,0.379,froid
346,nqrfqr1,0.398,froid
363,nqrfqr1,0.42,froid
383,nqrfqr1,0.444,froid
408,nqrfqr1,0.465,froid
437,nqrfqr1,0.484,froid
473,nqrfqr1,0.502,froid
515,nqrfqr1,0.521,froid
564,nqrfqr1,0.533,froid
624,nqrfqr1,0.437,froid
696,nqrfqr1,0.556,froid
0,nqrfqr1,0.603,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0.067,froid
103,nqrfqr1,0.077,froid
123,nqrfqr1,0.104,froid
143,nqrfqr1,0.125,froid
164,nqrfqr1,0.14,froid
184,nqrfqr1,0.141,froid
204,nqrfqr1,0.142,froid
225,nqrfqr1,0.148,froid
245,nqrfqr1,0.155,froid
265,nqrfqr1,0.151,froid
285,nqrfqr1,0.162,froid
305,nqrfqr1,0.157,froid
320,nqrfqr1,0.269,froid
332,nqrfqr1,0.293,froid
346,nqrfqr1,0.318,froid
363,nqrfqr1,0.352,froid
383,nqrfqr1,0.384,froid
408,nqrfqr1,0.415,froid
437,nqrfqr1,0.44,froid
473,nqrfqr1,0.463,froid
515,nqrfqr1,0.488,froid
564,nqrfqr1,0.507,froid
624,nqrfqr1,0.4,froid
696,nqrfqr1,0.531,froid
0,nqrfqr1,0.51,froid
42,nqrfqr1,0,froid
62,nqrfqr1,0,froid
83,nqrfqr1,0,froid
103,nqrfqr1,0,froid
123,nqrfqr1,0.094,froid
143,nqrfqr1,0.119,froid
164,nqrfqr1,0.117,froid
184,nqrfqr1,0.131,froid
204,nqrfqr1,0.137,froid
225,nqrfqr1,0.122,froid
245,nqrfqr1,0.133,froid
265,nqrfqr1,0.129,froid
285,nqrfqr1,0.129,froid
305,nqrfqr1,0.129,froid
320,nqrfqr1,0.231,froid
332,nqrfqr1,0.249,froid
346,nqrfqr1,0.267,froid
363,nqrfqr1,0.285,froid
383,nqrfqr1,0.302,froid
408,nqrfqr1,0.311,froid
437,nqrfqr1,0.338,froid
473,nqrfqr1,0.359,froid
515,nqrfqr1,0.379,froid
564,nqrfqr1,0.391,froid
624,nqrfqr1,0.282,froid
696,nqrfqr1,0.426,froid
0,WT,0.694,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0.05,control
143,WT,0.086,control
164,WT,0.109,control
184,WT,0.123,control
204,WT,0.131,control
224,WT,0.137,control
245,WT,0.148,control
265,WT,0.159,control
285,WT,0.162,control
306,WT,0.168,control
320,WT,0.38,control
332,WT,0.412,control
346,WT,0.433,control
363,WT,0.472,control
384,WT,0.494,control
408,WT,0.518,control
438,WT,0.54,control
473,WT,0.561,control
515,WT,0.576,control
564,WT,0.592,control
624,WT,0.605,control
696,WT,0.616,control
782,WT,0.625,control
0,WT,0.626,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0,control
143,WT,0.058,control
164,WT,0.071,control
184,WT,0.089,control
204,WT,0.097,control
224,WT,0.11,control
245,WT,0.117,control
265,WT,0.119,control
285,WT,0.133,control
306,WT,0.133,control
320,WT,0.318,control
332,WT,0.358,control
346,WT,0.389,control
363,WT,0.413,control
384,WT,0.429,control
408,WT,0.452,control
438,WT,0.47,control
473,WT,0.49,control
515,WT,0.503,control
564,WT,0.52,control
624,WT,0.532,control
696,WT,0.543,control
782,WT,0.552,control
0,WT,0.581,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0,control
143,WT,0,control
164,WT,0.071,control
184,WT,0.08,control
204,WT,0.095,control
224,WT,0.102,control
245,WT,0.11,control
265,WT,0.131,control
285,WT,0.119,control
306,WT,0.133,control
320,WT,0.276,control
332,WT,0.313,control
346,WT,0.33,control
363,WT,0.353,control
384,WT,0.366,control
408,WT,0.386,control
438,WT,0.401,control
473,WT,0.418,control
515,WT,0.432,control
564,WT,0.449,control
624,WT,0.464,control
696,WT,0.478,control
782,WT,0.493,control
0,WT,0.568,control
42,WT,0,control
62,WT,0,control
83,WT,0,control
103,WT,0,control
123,WT,0,control
143,WT,0,control
164,WT,0,control
184,WT,0,control
204,WT,0.064,control
224,WT,0.064,control
245,WT,0.087,control
265,WT,0.092,control
285,WT,0.093,control
306,WT,0.093,control
320,WT,0.23,control
332,WT,0.287,control
346,WT,0.317,control
363,WT,0.338,control
384,WT,0.343,control
408,WT,0.361,control
438,WT,0.374,control
473,WT,0.395,control
515,WT,0.408,control
564,WT,0.424,control
624,WT,0.442,control
696,WT,0.456,control
782,WT,0.469,control
0,nqr,0.632,control
42,nqr,0,control
62,nqr,0,control
83,nqr,0,control
103,nqr,0,control
123,nqr,0.055,control
143,nqr,0.078,control
164,nqr,0.114,control
184,nqr,0.124,control
204,nqr,0.152,control
224,nqr,0.166,control
245,nqr,0.175,control
265,nqr,0.183,control
285,nqr,0.186,control
306,nqr,0.193,control
320,nqr,0.359,control
332,nqr,0.394,control
346,nqr,0.403,control
363,nqr,0.429,control
384,nqr,0.435,control
408,nqr,0.453,control
438,nqr,0.467,control
473,nqr,0.482,control
515,nqr,0.498,control
564,nqr,0.517,control
624,nqr,0.528,control
696,nqr,0.542,control
782,nqr,0.554,control
0,nqr,0.578,control
42,nqr,0,control
62,nqr,0,control
83,nqr,0,control
103,nqr,0,control
123,nqr,0,control
143,nqr,0,control
164,nqr,0,control
184,nqr,0.049,control
204,nqr,0.056,control
224,nqr,0.067,control
245,nqr,0.073,control
265,nqr,0.085,control
285,nqr,0.086,control
306,nqr,0.097,control
320,nqr,0.259,control
332,nqr,0.309,control
346,nqr,0.338,control
363,nqr,0.37,control
384,nqr,0.379,control
408,nqr,0.401,control
438,nqr,0.415,control
473,nqr,0.435,control
515,nqr,0.448,control
564,nqr,0.466,control
624,nqr,0.476,control
696,nqr,0.49,control
782,nqr,0.498,control
0,nqr,0.62,control
42,nqr,0,control
62,nqr,0,control
83,nqr,0,control
103,nqr,0.048,control
123,nqr,0.083,control
143,nqr,0.108,control
164,nqr,0.122,control
184,nqr,0.135,control
204,nqr,0.143,control
224,nqr,0.149,control
245,nqr,0.157,control
265,nqr,0.159,control
285,nqr,0.161,control
306,nqr,0.162,control
320,nqr,0.328,control
332,nqr,0.377,control
346,nqr,0.395,control
363,nqr,0.426,control
384,nqr,0.436,control
408,nqr,0.45,control
438,nqr,0.473,control
473,nqr,0.491,control
515,nqr,0.502,control
564,nqr,0.518,control
624,nqr,0.53,control
696,nqr,0.545,control
782,nqr,0.557,control
0,fqr1,0.542,control
42,fqr1,0,control
62,fqr1,0,control
